Index,Country,Year,GDP,life_satisfaction,GHI,life_expectancy,unemployment,HDI,corruption,depression,obesity,suicide,fruit_consumption,veg_consumption,birth_rate,under_five_deaths
59,Nigeria,2016,5434.73479515868,5.219567776,25.5,53.541,7.05999994277954,0.53,28,4.0011701754699995,8.9,9.5,56.39,79.92,38.87300000000001,10.6943
60,Pakistan,2016,4857.168717567391,5.5485081670000005,33.4,66.77,3.8440001010894798,0.56,32,3.31639679315,8.6,2.9,23.08,21.62,28.888,7.749
61,Panama,2016,21472.6901894809,6.117638111000001,9.3,77.964,4.35300016403198,0.785,38,2.66999689538,22.7,4.3,78.86,25.91,19.562,1.9094
62,Paraguay,2016,8871.37954006657,5.8013801570000005,10.4,73.836,5.25,0.7020000000000001,30,2.95516903578,20.3,9.5,70.45,48.61,20.993,2.2244
63,Peru,2016,12082.1680106024,5.7006287570000005,8.6,76.044,3.52999997138977,0.748,35,2.26952104691,19.7,4.9,127.61,65.09,18.323,1.6589000000000005
64,Philippines,2016,7233.20610317139,5.430832862999999,19.9,70.80199999999998,2.7100000381469704,0.696,35,2.7560134116299997,6.4,3.2,110.65,63.07,21.623,2.8431
65,Rwanda,2016,1790.25475455162,3.332989931,27.4,67.93,1.23199999332428,0.52,54,3.8609586365,5.8,6.7,252.3,36.95,32.353,4.0851
66,Saudi Arabia,2016,50423.013493101396,6.473921299,5.0,74.76100000000002,5.650000095367429,0.8540000000000001,46,3.52262772078,35.4,3.2,73.59,59.94,18.858,0.8015000000000001
67,Senegal,2016,2379.45126362328,4.59453392,16.5,67.078,4.84700012207031,0.499,45,3.3498702190400005,8.8,6.0,20.79,66.62,35.727,4.675
68,Serbia,2016,13720.890891488501,5.752754688,7.1,75.505,15.2600002288818,0.785,42,2.57449278721,21.5,15.6,100.66,112.22,9.573,0.5975
69,Sierra Leone,2016,1363.86357140879,4.732953072,35.0,53.444,4.59800004959106,0.413,30,3.5812836696800003,8.7,9.7,33.74,46.31,34.483000000000004,11.6316
70,South Africa,2016,12286.697124833301,4.769739628,11.8,63.153,26.5499992370605,0.696,45,3.7297632997199996,28.3,11.6,23.47,40.95,21.314,3.6431
71,Tajikistan,2016,2762.58545284209,5.1037211419999995,30.0,70.39699999999998,10.303999900817901,0.647,25,2.5559855573299997,14.2,2.5,38.92,197.29,31.822,3.3535
72,Thailand,2016,15705.8065994744,6.07363987,11.8,76.403,0.9369999766349789,0.748,35,3.0852038428900004,10.0,14.4,89.69,39.24,10.675999999999998,0.9652000000000002
